dataset,target,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,time,LinearRegression,8.70056515270057,0.17631930021217831,11.271981939719053,0.2841858776999104,77.20660804625683,4.863085282027583
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,time,RandomForest,3.2440689237619393,0.2006523187066006,7.415989596176576,0.3874039784977853,11.936058810268637,0.4821255387253458
cranium,time,LinearRegression,0.06973344469854229,0.002249850312710143,0.09736920428646738,0.0031850200597930483,3.34145252864677,0.10699446134254885
cranium,time,RandomForest,0.040430708912037046,0.0010479012650893968,0.05257824035050058,0.0012970999493442182,2.012519162466439,0.052394803582753655
cubus,time,LinearRegression,0.24311697465707074,0.006639814352390812,0.3332129957752504,0.009587140199507906,3.940003891365149,0.09942441529934244
cubus,time,RandomForest,0.11696325810185204,0.003133145461862767,0.15050691599766025,0.00457629660438563,1.883310378577459,0.042488353737477336
flame,time,LinearRegression,0.05800921017569581,0.0017109884482500372,0.07705552343394809,0.0021460022321343904,3.211198980204418,0.08665172637828585
flame,time,RandomForest,0.036506782407407526,0.0008822845932658198,0.04683102881650577,0.001156714323412801,2.017570923504428,0.049248743816401964
france,time,LinearRegression,0.1461728543084523,0.0034116084724518094,0.19254590500180996,0.004426386493167454,3.971469687640581,0.08372526583765678
france,time,RandomForest,0.07970489583333337,0.0024204092206814368,0.10231647254815705,0.0030666422141730773,2.266584477372874,0.06772813021433978
frisco,time,LinearRegression,0.24728585205219836,0.007670923948092877,0.3323027163876178,0.012556697432720894,5.099592401875641,0.14994975727612558
frisco,time,RandomForest,0.15031584490740738,0.004281661891612579,0.19008852611639304,0.004879394130187897,3.25067492159896,0.09709604112197319
jelly,time,LinearRegression,0.32464166538161593,0.007030275854686632,0.4448005105849153,0.018822715914267412,17.029317381625592,0.5192472886629025
jelly,time,RandomForest,0.043267563657407485,0.0021295126747486177,0.07158584383410842,0.006737761530110515,2.2981072253046255,0.07280291042346021
jpeg-small,time,LinearRegression,0.014940440936161795,0.0002492865508013554,0.019038824587004,0.0003666129605498497,3.4835190390790673,0.05487187697783112
jpeg-small,time,RandomForest,0.014595398197997543,0.00021689150044080347,0.018896791530874518,0.0003299457186414548,3.4032439773693097,0.04919549251077961
pedestrian_area_1080p25_short.y4m,time,LinearRegression,3.565215857009986,0.07627770507196863,4.633252846110202,0.11727841089993499,70.54967866647276,4.382158236799855
pedestrian_area_1080p25_short.y4m,time,RandomForest,1.382897198774544,0.08510175728737675,3.1219571401822934,0.16087776228569503,12.130414415031943,0.4790746562165118
psd-large,time,LinearRegression,0.5371334177084452,0.0083848237932131,0.8760165049528655,0.022748449819266128,1.433411249713084,0.018233245570589255
psd-large,time,RandomForest,0.5871193295631197,0.015459472279114117,0.9995395887332853,0.023659536215614403,1.565871596014297,0.03405123752460567
riverbed_1080p25_short.y4m,time,LinearRegression,6.663945727843968,0.15904211869672247,8.874245250885568,0.26471110323566527,64.96582205248936,3.864417794692441
riverbed_1080p25_short.y4m,time,RandomForest,2.6589940607516738,0.16190691326201667,6.017621916129798,0.3311312973451675,12.447384173045055,0.4864218360830779
sd_crew_cif_short.y4m,time,LinearRegression,0.24556172844150495,0.005365612035445437,0.3194696390705977,0.008345953999503773,61.43422082311897,3.4164124710082566
sd_crew_cif_short.y4m,time,RandomForest,0.09186487022095896,0.005796522093370396,0.20887277346882283,0.010798876469687024,10.593735619738958,0.41894800344477856
strawberry,time,LinearRegression,0.09398711927692403,0.0028936837045549202,0.1309953129738312,0.005013929923072115,5.460803684175647,0.15276307622258495
strawberry,time,RandomForest,0.03801903645833329,0.0009489087028508412,0.04846528813933944,0.0012440507122036416,2.364608104385011,0.059991290408184475
voter-16,throughput,LinearRegression,2386.7069256479235,37.446193308704,2649.134727222881,42.35166332475742,7.531003986810256,0.1174702235895804
voter-16,throughput,RandomForest,560.2878528651339,21.10120100052152,754.5625596010966,36.391886232802804,1.7315224327446155,0.05471440712892842
ycsb-2400,throughput,LinearRegression,1270.7856896720834,27.741697422817293,1564.7754493149796,42.26112200490495,9.030854729166375,0.18587782676213097
ycsb-2400,throughput,RandomForest,570.6243274553337,12.067919994962518,723.3031919717816,18.351741990176446,4.074666195505247,0.08451604387510359
