dataset,metric,wilcoxon_statistic,p_value,significant_at_0_05,better_mean_model,linear_mean,random_forest_mean
cranium,MAE,0.0,1.862645149230957e-09,True,RandomForest,0.06973344469854229,0.040430708912037046
cranium,RMSE,0.0,1.862645149230957e-09,True,RandomForest,0.09736920428646739,0.05257824035050058
cranium,MAPE,0.0,1.862645149230957e-09,True,RandomForest,3.3414525286467693,2.0125191624664396
cubus,MAE,0.0,1.862645149230957e-09,True,RandomForest,0.24311697465707077,0.11696325810185206
cubus,RMSE,0.0,1.862645149230957e-09,True,RandomForest,0.3332129957752505,0.15050691599766028
cubus,MAPE,0.0,1.862645149230957e-09,True,RandomForest,3.940003891365149,1.8833103785774588
flame,MAE,0.0,1.862645149230957e-09,True,RandomForest,0.05800921017569582,0.03650678240740752
flame,RMSE,0.0,1.862645149230957e-09,True,RandomForest,0.07705552343394809,0.046831028816505776
flame,MAPE,0.0,1.862645149230957e-09,True,RandomForest,3.2111989802044176,2.017570923504428
france,MAE,0.0,1.862645149230957e-09,True,RandomForest,0.1461728543084523,0.07970489583333339
france,RMSE,0.0,1.862645149230957e-09,True,RandomForest,0.19254590500180996,0.10231647254815705
france,MAPE,0.0,1.862645149230957e-09,True,RandomForest,3.971469687640581,2.266584477372874
frisco,MAE,0.0,1.862645149230957e-09,True,RandomForest,0.24728585205219836,0.1503158449074074
frisco,RMSE,0.0,1.862645149230957e-09,True,RandomForest,0.3323027163876179,0.19008852611639304
frisco,MAPE,0.0,1.862645149230957e-09,True,RandomForest,5.099592401875641,3.25067492159896
jelly,MAE,0.0,1.862645149230957e-09,True,RandomForest,0.3246416653816159,0.043267563657407485
jelly,RMSE,0.0,1.862645149230957e-09,True,RandomForest,0.4448005105849153,0.07158584383410843
jelly,MAPE,0.0,1.862645149230957e-09,True,RandomForest,17.029317381625592,2.2981072253046264
strawberry,MAE,0.0,1.862645149230957e-09,True,RandomForest,0.09398711927692403,0.03801903645833329
strawberry,RMSE,0.0,1.862645149230957e-09,True,RandomForest,0.13099531297383124,0.04846528813933944
strawberry,MAPE,0.0,1.862645149230957e-09,True,RandomForest,5.460803684175647,2.364608104385011
jpeg-small,MAE,4.0,1.30385160446167e-08,True,RandomForest,0.014940440936161798,0.014595398197997544
jpeg-small,RMSE,111.0,0.011303061619400978,True,RandomForest,0.019038824587004,0.018896791530874518
jpeg-small,MAPE,0.0,1.862645149230957e-09,True,RandomForest,3.4835190390790673,3.4032439773693097
psd-large,MAE,0.0,1.862645149230957e-09,True,LinearRegression,0.5371334177084452,0.5871193295631197
psd-large,RMSE,0.0,1.862645149230957e-09,True,LinearRegression,0.8760165049528655,0.9995395887332852
psd-large,MAPE,0.0,1.862645149230957e-09,True,LinearRegression,1.433411249713084,1.5658715960142968
voter-16,MAE,0.0,1.862645149230957e-09,True,RandomForest,2386.7069256479235,560.2878528651338
voter-16,RMSE,0.0,1.862645149230957e-09,True,RandomForest,2649.1347272228804,754.5625596010966
voter-16,MAPE,0.0,1.862645149230957e-09,True,RandomForest,7.531003986810254,1.7315224327446155
ycsb-2400,MAE,0.0,1.862645149230957e-09,True,RandomForest,1270.7856896720832,570.6243274553337
ycsb-2400,RMSE,0.0,1.862645149230957e-09,True,RandomForest,1564.7754493149796,723.3031919717816
ycsb-2400,MAPE,0.0,1.862645149230957e-09,True,RandomForest,9.030854729166373,4.074666195505247
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,MAE,0.0,1.862645149230957e-09,True,RandomForest,8.70056515270057,3.24406892376194
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,RMSE,0.0,1.862645149230957e-09,True,RandomForest,11.271981939719058,7.415989596176575
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,MAPE,0.0,1.862645149230957e-09,True,RandomForest,77.20660804625683,11.93605881026864
pedestrian_area_1080p25_short.y4m,MAE,0.0,1.862645149230957e-09,True,RandomForest,3.565215857009986,1.3828971987745442
pedestrian_area_1080p25_short.y4m,RMSE,0.0,1.862645149230957e-09,True,RandomForest,4.633252846110201,3.121957140182293
pedestrian_area_1080p25_short.y4m,MAPE,0.0,1.862645149230957e-09,True,RandomForest,70.54967866647276,12.130414415031945
riverbed_1080p25_short.y4m,MAE,0.0,1.862645149230957e-09,True,RandomForest,6.663945727843968,2.658994060751674
riverbed_1080p25_short.y4m,RMSE,0.0,1.862645149230957e-09,True,RandomForest,8.874245250885568,6.017621916129799
riverbed_1080p25_short.y4m,MAPE,0.0,1.862645149230957e-09,True,RandomForest,64.96582205248936,12.447384173045055
sd_crew_cif_short.y4m,MAE,0.0,1.862645149230957e-09,True,RandomForest,0.24556172844150498,0.09186487022095896
sd_crew_cif_short.y4m,RMSE,0.0,1.862645149230957e-09,True,RandomForest,0.31946963907059767,0.20887277346882283
sd_crew_cif_short.y4m,MAPE,0.0,1.862645149230957e-09,True,RandomForest,61.43422082311897,10.593735619738958
